species,name,group
Dog,Toy Poodle/Miniature Schnauzer,Non-Sporting; Toy; Terrier
Dog,Australian Cattle Dog/Bull Terrier,Herding; Terrier
Dog,Rottweiler,Working
Dog,Weimaraner/Pit Bull,Sporting; Terrier
Dog,Yorkshire Terrier/Chihuahua Shorthair,Toy
Dog,Kuvasz Mix,Working
Dog,Golden Retriever/Cocker Spaniel,Sporting
Dog,Old English Bulldog,Non-Sporting
Dog,Akita,Working
Dog,Lhasa Apso/Cairn Terrier,Non-Sporting; Terrier
Dog,Akita/German Shepherd,Herding; Working
Dog,Beagle/Chinese Sharpei,Toy; Hound
Dog,Brittany/Chihuahua Shorthair,Sporting; Toy
Dog,Plott Hound/Australian Cattle Dog,Herding; Hound
Dog,Lhasa Apso/West Highland,Non-Sporting; Terrier
Dog,Manchester Terrier/Beagle,Toy; Hound; Terrier
Dog,Vizsla/German Shepherd,Sporting; Herding
Dog,Rottweiler/Rhod Ridgeback,Hound; Working
Dog,Munchkin Longhair Mix,Herding
Dog,Pbgv/Jack Russell Terrier,Toy; Terrier
Dog,Miniature Schnauzer/Chihuahua Shorthair,Toy; Terrier
Dog,Miniature Pinscher/Maltese,Toy
Dog,Pit Bull/Jack Russell Terrier,Terrier
Dog,Whippet/Miniature Pinscher,Toy; Hound
Dog,Nova Scotia Duck Tolling Retriever,Sporting
Dog,Labrador Retriever/Alaskan Husky,Sporting; Working
Dog,Chinese Sharpei/Bull Terrier,Toy; Terrier
Dog,Keeshond Mix,Non-Sporting
Dog,Bull Terrier,Terrier
Dog,Pit Bull/Boxer,Terrier; Working
Dog,Carolina Dog/Australian Cattle Dog,Herding; Working
Dog,Skye Terrier/Miniature Poodle,Toy; Terrier
Dog,Bengal Mix,Hound
Dog,Doberman Pinsch/Rottweiler,Working
Dog,Basset Hound/Australian Cattle Dog,Herding; Hound
Dog,Miniature Pinscher/Australian Cattle Dog,Herding; Toy
Dog,Australian Shepherd/Anatol Shepherd,Herding; Working
Dog,Catahoula/Bulldog,Non-Sporting; Toy
Dog,Cardigan Welsh Corgi/Pit Bull,Herding; Terrier
Dog,Pit Bull/Dogue De Bordeaux,Terrier; Working
Dog,Boston Terrier/Dachshund,Non-Sporting; Hound
Dog,Pug,Toy
Dog,Labrador Retriever/Great Dane,Sporting; Working
Dog,Flat Coat Retriever/Chow Chow,Non-Sporting; Sporting
Dog,Miniature Poodle Mix,Toy
Dog,Border Collie,Herding
Dog,Akita/Border Collie,Herding; Working
Dog,Yorkshire Terrier/Rat Terrier,Toy; Terrier
Dog,Great Dane/Boerboel,Working
Dog,Chihuahua Shorthair/Papillon,Toy
Dog,Collie Smooth/Chow Chow,Non-Sporting; Herding
Dog,Bulldog/Australian Cattle Dog,Non-Sporting; Herding
Dog,Chihuahua Shorthair/Toy Fox Terrier,Toy
Dog,Cocker Spaniel,Sporting
Dog,Pembroke Welsh Corgi/German Shepherd,Herding
Dog,Coton De Tulear,Non-Sporting
Dog,Snowshoe/Domestic Shorthair,Non-Sporting; Sporting
Dog,Staffordshire/French Bulldog,Non-Sporting; Terrier
Dog,Pointer/Ibizan Hound,Sporting; Hound
Dog,Pharaoh Hound,Hound
Dog,Cairn Terrier/Dachshund Wirehair,Hound; Terrier
Dog,Anatol Shepherd/Australian Cattle Dog,Herding; Working
Dog,Dachshund/Swedish Vallhund,Herding; Hound
Dog,Parson Russell Terrier,Terrier
Dog,Beagle/Basset Hound,Hound
Dog,Cocker Spaniel/Standard Poodle,Sporting; Working
Dog,Carolina Dog Mix,Working
Dog,Nova Scotia Duck Tolling Retriever/Border Collie,Sporting; Herding
Dog,Great Pyrenees/Alaskan Husky,Working
Dog,West Highland Mix,Terrier
Dog,Boykin Span/Dachshund,Sporting; Hound
Dog,Labrador Retriever/Standard Poodle,Sporting; Working
Dog,Domestic Shorthair/British Shorthair,Sporting
Dog,Border Collie/Pointer,Herding; Sporting
Dog,Siberian Husky/Alaskan Malamute,Working
Dog,Jack Russell Terrier,Terrier
Dog,Chihuahua Longhair/Cardigan Welsh Corgi,Herding; Toy
Dog,Catahoula/Beagle,Hound; Toy
Dog,Dachshund Wirehair/Cairn Terrier,Hound; Terrier
Dog,Border Terrier/Miniature Schnauzer,Terrier
Dog,Dachshund/Jack Russell Terrier,Hound; Terrier
Dog,Norwich Terrier/Pug,Toy; Terrier
Dog,Finnish Spitz/Chow Chow,Non-Sporting
Dog,Rhod Ridgeback/German Shepherd,Herding; Hound
Dog,Staffordshire,Terrier
Dog,Redbone Hound/Dachshund,Hound
Dog,Border Terrier/Soft Coated Wheaten Terrier,Terrier
Dog,Standard Schnauzer Mix,Working
Dog,Chihuahua Longhair/West Highland,Toy; Terrier
Dog,Beagle/Treeing Walker Coonhound,Hound
Dog,Cane Corso/Mastiff,Working
Dog,American Bulldog/Labrador Retriever,Sporting; Hound
Dog,Pointer/Australian Kelpie,Sporting; Terrier
Dog,Siamese/Angora,Working
Dog,Black Mouth Cur/Basset Hound,Hound
Dog,Cardigan Welsh Corgi/Cairn Terrier,Herding; Terrier
Dog,Beagle/Border Terrier,Hound; Terrier
Dog,Blue Lacy/Labrador Retriever,Herding; Sporting
